"","name","price","sex","height","color","location","markings","weight","foaldate","registrations","disciplines","temperament","link"
"1546","GW Lees Last Encore",1500,"Gelding","13.2 hands","Palomino","Stover, Missouri","small star","800 pounds","Apr-11","AHA - Arabian Horse Association (HAHR*1A373060)","Western Riding (Prospect) Western Pleasure (Show) (Prospect) Youth/4-H Horse (Prospect) Western Pleasure (Prospect) Trail Horse (Prospect)",5,"http://www.equine.com/horses-for-sale/horse-ad-2726267.html"
"8000","Kepas Bar Three",500,"Mare","","Brown","Snook, Texas","","","Apr-95","AQHA - American Quarter Horse Association (3393310)","Brood Mare (Rank Not Applicable)",7,"http://www.equine.com/horses-for-sale/horse-ad-2817039.html"
"5314","Cherokee",450,"Mare","14.1 hands","Bay","Paradise, Texas","Bay tobiano with bonnet face","900 pounds","Apr-08","","Endurance Riding (Prospect) Trail Horse (Trained) Competitive Trail Competitions (Prospect) Pole Bending (Prospect) Barrel Racing (Prospect)",5,"http://www.equine.com/horses-for-sale/horse-ad-2886186.html"
"1215","Wrangler",2800,"Gelding","15.1 hands","Bay","Lucama, North Carolina","star hind socks","1000 pounds","Jun-02","","Dressage (Trained) Beginner/Family (Trained) Eventing (Prospect) Trail Horse (Trained) Hunter (Prospect)",2,"http://www.equine.com/horses-for-sale/horse-ad-2880453.html"
"7043","MCR Skips Style-Cisco",2500,"Gelding","5.2 hands","Grey","Nebraska CIty, Nebraska","","","Apr-03","","Western Riding (Trained) Trail Horse (Trained) Reined Cow Horse (Trained)",2,"http://www.equine.com/horses-for-sale/horse-ad-2838311.html"
"2570","Eyes A Jewel",8500,"Mare","15.1 hands","Chestnut","Landrum, South Carolina","Star and strip","","Jan-07","","Hunter  Eventing ",4,"http://www.equine.com/horses-for-sale/horse-ad-2786785.html"
"8603","Ivormast",2500,"Gelding","16.0 hands","Grey","Grantville, Pennsylvania","","1200 pounds","Jun-08","JC - Jockey Club ()","Hunter (Prospect) Jumper (Prospect) Trail Horse (Prospect) Barrel Racing (Prospect) Eventing (Prospect)",3,"http://www.equine.com/horses-for-sale/horse-ad-2803104.html"
"3713","RIGHTTIME GRAND SALM",4000,"Mare","","Bay","Jacksonville, Illinois","White star on face","1050 pounds","Mar-08","AQHA - American Quarter Horse Association (X0674720)","Western Pleasure (Prospect)",5,"http://www.equine.com/horses-for-sale/horse-ad-2884506.html"
"998","Netta's Legacy Aklohoma R",25000,"Mare","16.2 hands","Bay","Kingsport, Tennessee","","","Jan-00","Belgian Warmblood Association (BEL-W-193211-BWP)","Dressage (Champion) Hunter (Competed or Shown) Hunter Under Saddle (Competed or Shown) Jumper (Competed or Shown) Youth/4-H Horse (Competed or Shown)",3,"http://www.equine.com/horses-for-sale/horse-ad-2884512.html"
"6598","Lacy",2000,"Mare","15.2 hands","Other","Columbus, Nebraska","Star & snip.","","May-02","","Western Riding (Trained)",7,"http://www.equine.com/horses-for-sale/horse-ad-2845281.html"
